title,genre,overview
2 Guns (2013),"action, comedy, crime",A DEA agent and an undercover Naval Intelligence officer who have been tasked with investigating one another find they have been set up by the mob -- the very organization the two men believe they have been stealing money from.
2 Hearts (2020),"drama, romance","When illness strikes two people who are polar opposites, life and death bring them together in surprising ways."
200 Pounds Beauty (2006),"comedy, romance","Based on a Japanese manga, Kanna-San, Daiseikou Desu, this story revolves around Kang Han-na, an overweight phone sex employee and secret vocalist for Ammy, a famous Korean pop singer who actually lip syncs as she cannot sing. After getting humilitated publicly by an ungrateful Ammy, Han-na undergoes an extreme makeover to become a pop sensation herself."
2001: A Space Odyssey (1968),adventure,"Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world's most advanced super computer."
200KG Vampire (2024),"comedy, horror","The residents of Kampung Terbalik become victims of attacks by Pontianak Melati and Pontianak Mewangi, who are constantly hungry. The situation becomes even more chaotic when the villagers mistakenly believe that they are blood-sucking pontianaks, causing many villagers to fall into comas!"
2012 (2009),"action, adventure, science fiction","Dr. Adrian Helmsley, part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms, learns that the earth's core is heating up. He warns U.S. President Thomas Wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the world's population, the entire race is doomed. Meanwhile, writer Jackson Curtis stumbles on the same information. While the world's leaders race to build ""arks"" to escape the impending cataclysm, Curtis struggles to find a way to save his family. Meanwhile, volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world."
2037 (2022),family,"Yoon-young, a 19-year-old girl who dreams of becoming a civil servant, is framed as a murderer and imprisoned in a women's prison."
2073 (2024),thriller,"Inspired by Chris Marker's iconic 1962 featurette La Jetée; the year is 2073—a not-so-distant dystopian future—and the setting is New San Francisco, the scorched-earth tech-dominant police state where democracy and personal freedom have been well and truly obliterated."
20th Century Girl (2022),"drama, romance","In 1999, a teen girl keeps close tabs on a boy in school on behalf of her deeply smitten best friend – then she gets swept up in a love story of her own."
21 (2008),"crime, drama","Ben Campbell is a young, highly intelligent student at M.I.T. who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine to become a doctor, Ben learns that he cannot afford the $300,000 tuition as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor to a small but secretive club of five students, Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa to count cards at blackjack."
21 Bridges (2019),"action, crime","An embattled NYPD detective, is thrust into a citywide manhunt for a pair of cop killers after uncovering a massive and unexpected conspiracy. As the night unfolds, lines become blurred on who he is pursuing, and who is in pursuit of him."
21 Jump Street (2012),"action, comedy, crime","When cops Schmidt and Jenko join the secret Jump Street unit, they use their youthful appearances to go undercover as high school students. They trade in their guns and badges for backpacks, and set out to shut down a dangerous drug ring. But, as time goes on, Schmidt and Jenko discover that high school is nothing like it was just a few years earlier -- and, what's more, they must again confront the teenage terror and anxiety they thought they had left behind."
211 (2018),"action, crime, thriller","Inspired by one of the longest and bloodiest real-life events in police history, Officer Mike Chandler and a young civilian passenger find themselves under-prepared and outgunned when fate puts them squarely in the crosshairs of a daring bank heist in progress by a fearless team of highly-trained and heavily-armed men."
22 Jump Street (2014),"action, comedy, crime","After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college. But when Jenko meets a kindred spirit on the football team, and Schmidt infiltrates the bohemian art major scene, they begin to question their partnership. Now they don't have to just crack the case - they have to figure out if they can have a mature relationship. If these two overgrown adolescents can grow from freshmen into real men, college might be the best thing that ever happened to them."
23.5 (2024),drama,"A popular student gravitates toward someone she only knows online, forcing her lovesick classmate to decide if she should reveal her true identity."
28 Days Later (2002),"horror, science fiction, thriller","Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
28 Weeks Later (2007),"horror, science fiction, thriller","The inhabitants of the British Isles have lost their battle against the onslaught of disease, as the deadly rage virus has killed every citizen there. Six months later, a group of Americans dare to set foot on the Isles, convinced the danger has passed. But it soon becomes all too clear that the scourge continues to live, waiting to pounce on its next victims."
3 Body Problem (2024),"drama, fantasy, mystery, science fiction","Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges."
3 Foot Ball and Souls (2018),mystery,"In Japan, four people attempt to kill themselves with explosives in an online suicide club. But after the explosion, the four find themselves set back in time and experience the moments before the combustion over and over again"
3 Idiots (2009),"comedy, drama","Rascal. Joker. Dreamer. Genius... You've never met a college student quite like ""Rancho."" From the moment he arrives at India's most prestigious university, Rancho's outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school's uptight and heartless dean. But when Rancho catches the eye of the dean's daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all."
3% (2016),science fiction,"Vampire sisters Silvania and Daka try to rescue their baby brother, a half-vampire, from the clutches of the evil vampire queen Antanasia, who wants to crown him as her heir."
30 Days of Night (2007),"horror, thriller","This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction."
30 Days of Night: Dark Days (2010),"horror, thriller","After surviving the incidents in Barrow, Alaska, Stella Olemaun relocates to Los Angeles, where she intentionally attracts the attention of the local vampire population in order to avenge the death of her husband, Eben."
300 (2006),"action, adventure","Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy."
300: Rise of an Empire (2014),"action, fantasy","Greek general Themistocles attempts to unite all of Greece by leading the charge that will change the course of the war. Themistocles faces the massive invading Persian forces led by mortal-turned-god, Xerxes and Artemesia, the vengeful commander of the Persian navy."
365 Days (2020),"drama, romance","A woman falls victim to a dominant mafia boss, who imprisons her and gives her one year to fall in love with him."
365 Days to the Wedding (2024),"animation, anime","Takuya and Rika work at the same travel agency in Tokyo and are both happily introverted and single. But their company is opening a new branch in Alaska next year, and employees without a spouse will be recruited to work there. Desperate to avoid the move, and though they've hardly spoken before, they decide to fake an engagement. Can these quiet coworkers become a convincing couple?"
365 Days: This Day (2022),"drama, romance","Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo's family ties and a mysterious man who enters Laura's life to win her heart and trust, at any cost."
366 Days (2024),drama,Asuka Yukihira (Alice Hirose) is 28 and works at the reception desk for a music school. She hears that her high school will soon be abolished and decides to attend a school reunion held at her high school
37 Seconds (2019),drama,"23-year-old comic book artist Yuma, physically disabled due to profound cerebral palsy and emotionally stunted by her well-meaning but overly protective mother, forges her own unusual path to sexual awakening and independence while at the same time discovering love and forgiveness."
3Below: Tales of Arcadia (2018),"fantasy, science fiction","After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters."
4 Kings (2021),"action, crime, drama, thriller","Inspired by the real story of the conflict between the student from four different technician colleges in the 90s, where violence can be used to build friendships and enemies at the same time."
4 Kings 2 (2023),"action, crime, drama","After a drug dealer schemes against them in secret, two student gangs ignite a bitter feud that triggers a chain of violent consequences."
42 Days of Darkness (2022),"drama, mystery","In a town in Chile, a woman leads a frantic search to find her missing sister amid a media storm and the police investigation. Inspired by a true case."
47 Hours to Live (2019),"horror, thriller","Two socially awkward teenage girls, are bored one night and turn to the internet for scary stories. They find a game on a creepy website that claims you can use your phone to summon the supernatural...and if you lose the game...you lose your life."
47 Meters Down (2017),"adventure, drama, horror, thriller","Two sisters on Mexican vacation are trapped in a shark observation cage at the bottom of the ocean, with oxygen running low and great whites circling nearby, they have less than an hour of air left to figure out how to get to the surface."
47 Meters Down: Uncaged (2019),"adventure, drama, horror","Four teenage girls go on a diving adventure to explore a submerged Mayan city. Once inside, their rush of excitement turns into a jolt of terror as they discover the sunken ruins are a hunting ground for deadly great white sharks. With their air supply steadily dwindling, the friends must navigate the underwater labyrinth of claustrophobic caves and eerie tunnels in search of a way out of their watery hell."
47 Ronin (2013),"action, adventure, drama, fantasy","Kai—an outcast—joins Oishi, the leader of 47 outcast samurai.  Together they seek vengeance upon the treacherous overlord who killed their master and banished their kind.  To restore honour to their homeland, the warriors embark upon a quest that challenges them with a series of trials that would destroy ordinary warriors."
4Minutes (2024),"action, drama, fantasy, science fiction",A rich kid who can see four minutes ahead meets a kind surgical resident who just might change his future in more ways than one.
5 Centimeters per Second (2007),"animation, anime, drama, romance","Three moments in Takaki's life: his relationship with Akari and their forced separation; his friendship with Kanae, who is secretly in love with him; the demands and disappointments of adulthood, an unhappy life in a cold city."
50 First Dates (2004),"comedy, romance","Henry is a player skilled at seducing women. But when this veterinarian meets Lucy, a girl with a quirky problem when it comes to total recall, he realizes it's possible to fall in love all over again…and again, and again. That's because the delightful Lucy has no short-term memory, so Henry must woo her day after day until he finally sweeps her off her feet."
50/50 (2011),"comedy, drama","Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease."
57 Seconds (2023),thriller,"When a tech blogger lands an interview with a tech guru and stops an attack on him, he finds a mysterious ring that takes him back 57 seconds into the past."
5lbs of Pressure (2024),"crime, romance, thriller","Fresh out of prison after serving time for murder, Adam returns to his old stomping grounds to seek out a son who doesn't know him. Eli, the brother of the man he killed is looking for revenge. Mike, is trying to escape a life of crime living under the thumb of his gangster Uncle."
6 Underground (2019),"action, comedy, thriller","After faking his death, a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator."
6 Years (2015),"drama, romance","A young couple bound by a seemingly ideal love, begins to unravel as unexpected opportunities spin them down a volatile and violent path and threaten the future they had always imagined."
6/45 (2022),comedy,A comedy film about North and South Korean soldiers vying for a winning lotto ticket that crossed the demarcation line because of the strong wind.
65 (2023),"action, thriller","65 million years ago, the only 2 survivors of a spaceship from Somaris that crash-landed on Earth, must fend off dinosaurs to reach the escape vessel in time before an imminent asteroid strike threatens to destroy the planet."
6ixtynin9 the Series (2023),"comedy, crime, mystery","After losing her job, a woman discovers a mysterious package on her apartment doorstep and her life takes a turn for the worse."
6th Sense Agency (2024),mystery,"A cash-strapped young man, a gifted realtor and a pair of fake exorcists form an unlikely squad to sell houses haunted by spirits."
7500 (2019),"action, drama, thriller","When terrorists try to seize control of a Berlin-Paris flight, a soft-spoken young American co-pilot struggles to save the lives of the passengers and crew while forging a surprising connection with one of the hijackers."
7SEEDS (2019),"animation, anime, drama, fantasy, science fiction","Shy Natsu awakens as part of a group chosen to ensure the survival of humanity. Together, they have to survive on a changed Earth."
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy! (2024),"animation, anime, drama, fantasy, science fiction","Rishe, the duke's daughter, is no stranger to reincarnation—it's her seventh life, after all. Each life restarts at her broken engagement. Having been a merchant, a maid, and a knight, she now desires leisure. But her world changes when a prince, who killed her in a past life, proposes! To prevent war and live to a ripe old age, she begins her seventh life as the bride of an enemy nation's prince."
8 Mile (2002),drama,"For Jimmy Smith, Jr., life is a daily fight just to keep hope alive. Feeding his dreams in Detroit's vibrant music scene, Jimmy wages an extraordinary personal struggle to find his own voice - and earn a place in a world where rhymes rule, legends are born and every moment… is another chance."
8-Bit Christmas (2021),"comedy, family","In suburban Chicago during the late 1980s, ten-year-old Jake Doyle embarks on a herculean quest to get the latest and greatest video game system for Christmas."
80 for Brady (2023),comedy,"Four lifelong friends set out on an unforgettable journey to see their hero Tom Brady play in Super Bowl LI and witness one of the greatest comebacks in sports history, discovering that it's never too late to live life to the fullest. Inspired by a true story."
86: Eighty-Six (2021),"adventure, animation, anime, fantasy, science fiction","Called ""Juggernaut,"" these are the unmanned combat drones developed by the Republic of San Magnolia in answer to the attacks by the autonomous unmanned drones of the neighboring Empire of Giad, the ""Legion"". But they're only unmanned in name. In reality, they are piloted by the Eighty-sixers—those considered to be less than human and treated as mere tools. Determined to achieve his own mysterious ends, Shin, the captain of Spearhead Squadron, which is comprised of Eighty-sixers, continues to fight a hopeless war on a battlefield where only death awaits him."
8: A South African Horror Story (2019),horror,"An old man, fated to collect souls for eternity, seeks atonement after trading his daughter's soul."
8ight After (2020),horror,"After discovering a secret box in the wall of her house, a demonic presence begins terrorizing a YouTuber, at 8 after 1:00am every night."
9 (2009),"action, adventure, animation, science fiction, thriller","When 9 first comes to life, he finds himself in a post-apocalyptic world. All humans are gone, and it is only by chance that he discovers a small community of others like him taking refuge from fearsome machines that roam the earth intent on their extinction. Despite being the neophyte of the group, 9 convinces the others that hiding will do them no good."
9 Songs (2004),"drama, romance","Matt, a young glaciologist, soars across the vast, silent, icebound immensities of the South Pole as he recalls his love affair with Lisa. They meet at a mobbed rock concert in a vast music hall - London's Brixton Academy. They are in bed at night's end. Together, over a period of several months, they pursue a mutual sexual passion whose inevitable stages unfold in counterpoint to nine live-concert songs."
96th Annual Academy Awards (2024),talk,"Get all the action from the biggest awards night of them all - the 96th Academy Awards, live from Hollywood's Dolby Theatre."
97th Annual Academy Awards (2025),talk,"Get all the action from the biggest awards night of them all - the 97th Academy Awards, live from Hollywood's Dolby Theatre"
A Babysitter's Guide to Monster Hunting (2020),"adventure, comedy, family, fantasy","Recruited by a secret society of babysitters, a high schooler battles the Boogeyman and his monsters when they nab the boy she's watching on Halloween."
A Bad Moms Christmas (2017),comedy,"Amy, Kiki and Carla – three under-appreciated and over-burdened women – rebel against the challenges and expectations of the Super Bowl for mothers: Christmas. And if creating a more perfect holiday for their families wasn't hard enough, they have to do all of that while hosting and entertaining their own mothers."
A Balloon's Landing (2024),drama,"A frustrated Hong Kong writer, Tian-Yu, meets a Taipei street gangster, Xiang, and the two of them embark on a journey to find the Bay of Whales, a place that leads to paradise."
A Beautiful Lie (2024),drama,"Amara (17), a girl neglected by her father, develops a relationship with the guidance counselor at her school."
A Beautiful Life (2011),"drama, romance","Fang Zhen Dong is a patrolling officer in Beijing who one night meets the drunk Li Pei Ru while singing karaoke at the KTV place. Li Pei Ru is a real estate agent from Hong Kong who has vowed to make her fortune in the cosmoplitan Beijing, but is caught up in the complexities of life and ends up becoming a mistress of a married man."
A Beautiful Life (2023),"drama, romance","When a young fisherman with a hidden talent gets discovered by a music producer, he must decide if he's ready to open himself up to stardom — and love."
A Beautiful Mind (2001),"drama, romance","From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery."
A Better Tomorrow (1986),"action, crime, drama","A reforming ex-gangster tries to reconcile with his estranged policeman brother, but the ties to his former gang are difficult to break."
A Better Tomorrow II (1987),"action, crime, thriller",A restauranteur teams up with a police officer and his ex-con brother to avenge the death of a friend's daughter.
A Better Tomorrow III: Love and Death in Saigon (1989),"action, thriller","The year is 1974. A young Hong Kong Chinese, Mark, travels to Saigon to make his fortune. There, he encounters a mysterious femme fatale, the lovely Kit. As he becomes more involved in her various underworld deals, a tragic romance develops. On the eve of the outbreak of war, Kit's past returns to endanger her, and Mark must risk everything for the one true love of his life."
A Bloody Lucky Day (2023),drama,An ordinary taxi driver becomes entangled with a customer that turns out to be a serial killer.
A Boy Called Christmas (2021),"family, fantasy","An ordinary young boy called Nikolas sets out on an extraordinary adventure into the snowy north in search of his father who is on a quest to discover the fabled village of the elves, Elfhelm. Taking with him a headstrong reindeer called Blitzen and a loyal pet mouse, Nikolas soon meets his destiny in this magical and endearing story that proves nothing is impossible…"
A Bronx Tale (1993),"crime, drama","Set in the Bronx during the tumultuous 1960s, an adolescent boy is torn between his honest, working-class father and a violent yet charismatic crime boss. Complicating matters is the youngster's growing attraction - forbidden in his neighborhood - for a beautiful black girl."
A Brush with Christmas (2022),"comedy, drama, romance","Over the week leading up to Christmas in the town of Bayside, Charlotte tries to capture her own unique style in the local art scene while also helping her mother, run the family restaurant. Disheartened and struggling to find time for her art, Charlotte throws out her latest painting, only to discover that it has been anonymously submitted to the Christmas art festival. It turns out that Wyatt, a visiting artist, stumbled upon her discarded work and is now using the festival's exposure to find its mysterious creator."
A Bug's Life (1998),"adventure, animation, comedy, family","On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper."
A California Christmas (2020),"comedy, romance","With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas."
A Carpool Karaoke Christmas (2024),comedy,"James Corden passes the keys to Zane Lowe for this international holiday road trip. It's a pop diva winter wonderland when Zane gets festive with Dua Lipa in Japan, Chappell Roan in her Missouri hometown, and Lady Gaga in Los Angeles."
A Charlie Brown Christmas (1965),"animation, comedy, family","When Charlie Brown complains about the overwhelming materialism that he sees amongst everyone during the Christmas season, Lucy suggests that he become director of the school Christmas pageant. Charlie Brown accepts, but it is a frustrating struggle. When an attempt to restore the proper spirit with a forlorn little fir Christmas tree fails, he needs Linus' help to learn the meaning of Christmas."
A Chiara (2021),drama,"Chiara feels that there is something wrong. She has a strange feeling she cannot explain to her mother or sister. During the night, after overhearing a heated argument between her parents and witnessing something shocking, her world is overturned and her safety net crumbles. Reality and dreams start to blur and Chiara's life will never be the same."
A Choo (2020),"comedy, romance","Even when they were orphans, Wang Yizhi has always been in love with Xinxin. Now older, Yizhi decides to train as a boxer before he allows himself to profess his love, but only for her to fall for a geeky computer engineer who is secretly a popular superhero. When Xinxin gets kidnapped, Yizhi must prove his love and his fighting skills to get the girl of his dreams."
